datetime,close,open,high,low,volume,
"Sep 06, 2021",52,51.9,52.1,51.6,248.96K,
"Sep 03, 2021",52.2,53,53.3,51.9,939.89K,
"Sep 02, 2021",52.9,52,53.3,51.6,1.37M,
"Sep 01, 2021",51.9,52.1,52.3,51.5,751.87K,
"Aug 31, 2021",52.9,51.5,53,51.1,2.63M,
"Aug 30, 2021",51.5,52.6,52.6,51.5,882.04K,
"Aug 27, 2021",52.6,55,55,52,1.70M,
"Aug 26, 2021",53.7,51,56.5,50.5,5.37M,
"Aug 25, 2021",51,51.2,52,50.9,770.22K,
"Aug 24, 2021",51.1,50.2,51.9,50,1.08M,
"Aug 23, 2021",50.2,50.6,50.8,49.9,2.20M,
"Aug 20, 2021",50.6,50.5,50.7,50.3,509.28K,
"Aug 19, 2021",50.5,50.2,50.6,50.2,784.15K,
"Aug 18, 2021",50.2,50.8,50.8,50,447.94K,
"Aug 17, 2021",50.6,50.5,50.8,50.2,223.70K,
"Aug 16, 2021",50.4,50.5,50.7,50,48.05K,
"Aug 13, 2021",50.5,50.5,51,50.4,139.12K,
"Aug 12, 2021",50.1,50.2,50.3,49.7,742.89K,
"Aug 11, 2021",50.3,50,50.6,49.6,533.10K,
"Aug 10, 2021",50,50.5,50.5,49.6,1.45M,
"Aug 09, 2021",50.5,50.7,50.8,50,1.58M,
"Aug 06, 2021",50.7,50.7,50.9,50.4,1.16M,
"Aug 05, 2021",50.6,50.9,51.6,50.4,1.73M,
"Aug 04, 2021",51,51,51.6,50.5,1.22M,
"Aug 03, 2021",51,51,51.5,50.3,2.27M,
"Aug 02, 2021",51.1,52,52,51,649.00K,
"Jul 30, 2021",51.7,51.8,52,51.5,292.53K,
"Jul 29, 2021",51.8,51.8,52.1,51.7,225.78K,
"Jul 28, 2021",51.6,51.7,52,51.3,326.21K,
"Jul 27, 2021",51.5,51.5,52,51,723.30K,
"Jul 26, 2021",51.4,52,52,51,1.09M,
"Jul 22, 2021",52,52.6,52.9,51.9,946.05K,
"Jul 20, 2021",52.8,53.5,53.5,52.4,1.05M,
"Jul 19, 2021",53.4,53,53.4,52.8,339.71K,
"Jul 16, 2021",53.3,53.2,53.7,53,214.01K,
"Jul 15, 2021",53.1,53.3,53.9,53,360.50K,
"Jul 14, 2021",53,52.5,53.8,52.4,374.77K,
"Jul 13, 2021",52.7,52.5,52.7,52,618.98K,
"Jul 12, 2021",52.5,53,53,52.2,325.99K,
"Jul 09, 2021",52.6,53,53,52.5,163.94K,
"Jul 08, 2021",52.8,52.5,53,52.4,581.06K,
"Jul 07, 2021",52.3,52.4,52.4,52,203.07K,
"Jul 06, 2021",52.2,52.4,52.4,52.1,211.84K,
"Jul 05, 2021",52.4,52.4,52.5,52,679.33K,
"Jul 02, 2021",52.5,53,53,52.3,1.62M,
"Jul 01, 2021",52.9,53,53.5,52.7,262.74K,
"Jun 30, 2021",52.8,53.5,53.5,52.5,299.52K,
"Jun 29, 2021",53.8,54,54,53.1,571.03K,
"Jun 28, 2021",54.1,54.2,54.5,54,444.54K,
"Jun 25, 2021",54.2,54.3,54.5,53.9,828.32K,
"Jun 23, 2021",54.4,54.5,54.7,53.8,513.72K,
"Jun 22, 2021",54.6,55,55,54.5,767.48K,
"Jun 21, 2021",55.2,55.2,55.2,54.9,1.19M,
"Jun 18, 2021",55.3,55.2,55.3,55,640.78K,
"Jun 17, 2021",55.2,55.3,55.5,55,572.33K,
"Jun 16, 2021",55.1,55,55.5,55,537.65K,
"Jun 15, 2021",55.3,55.8,56,55,642.22K,
"Jun 14, 2021",55.8,55.1,55.9,54.9,733.49K,
"Jun 11, 2021",55.5,55.9,55.9,55.3,452.36K,
"Jun 10, 2021",55.1,55,56,54.8,1.15M,
"Jun 09, 2021",55,55,55.2,54.7,300.44K,
"Jun 08, 2021",54.9,55.3,55.4,54.9,757.85K,
"Jun 07, 2021",55.3,55.8,55.9,55.1,481.63K,
"Jun 04, 2021",55.7,55,56.1,55,1.22M,
"Jun 03, 2021",56,55.9,56,55.1,991.54K,
"Jun 02, 2021",55.8,55.9,56,55.1,959.36K,
"Jun 01, 2021",55.9,55.6,56.1,54.7,946.54K,
"May 31, 2021",55.6,56,56.8,55,1.87M,
"May 28, 2021",55.9,54.8,56.6,54.8,2.59M,
"May 25, 2021",54.7,52.8,54.7,52.8,1.46M,
"May 24, 2021",52.8,52,52.9,51.8,707.34K,
"May 21, 2021",52.3,52.7,52.7,51.6,2.30M,
"May 20, 2021",52.5,52.9,52.9,51.8,1.16M,
"May 19, 2021",52.7,52.2,52.9,51.9,528.82K,
"May 18, 2021",52.2,52.2,52.3,51.7,1.12M,
"May 17, 2021",51.9,50.6,52,50.6,606.06K,
"May 13, 2021",50.6,49.8,50.7,49.7,373.22K,
"May 12, 2021",50,50.1,51.4,49.9,660.74K,
"May 11, 2021",49.8,49.9,50,49.3,244.29K,
"May 10, 2021",49.8,51.1,51.1,49.8,951.20K,
"May 07, 2021",51,50.2,51.4,50.1,732.01K,
"May 06, 2021",50.1,50,51,50,310.65K,
"May 05, 2021",49.8,50,50,49.3,1.01M,
"May 04, 2021",49.6,49.2,50,49,721.13K,
"May 03, 2021",49.5,50,50,49.1,347.11K,
"Apr 30, 2021",50,48.9,50.1,48.8,183.97K,
"Apr 29, 2021",48.9,49.6,49.8,48.5,793.78K,
"Apr 28, 2021",49.6,48.3,49.8,48.2,808.59K,
"Apr 27, 2021",48.5,49.8,49.8,48,1.46M,
"Apr 23, 2021",50.2,50.5,50.6,49.9,3.80M,
"Apr 22, 2021",51,51.8,51.9,50.9,1.98M,
"Apr 21, 2021",51.5,51.5,52,50.5,1.94M,
"Apr 20, 2021",51.7,54,54,51.5,1.95M,
"Apr 19, 2021",53.5,54,54.1,53.4,778.16K,
"Apr 16, 2021",54,54.8,54.8,53.6,531.89K,
"Apr 15, 2021",54.1,55,55,53.7,1.65M,
"Apr 12, 2021",54.5,55.9,55.9,54.1,759.84K,
"Apr 09, 2021",55.3,56,56.5,55.1,1.93M,
"Apr 08, 2021",55.8,53.9,56.1,53.6,4.29M,
"Apr 07, 2021",53.9,54,54.3,53.5,3.14M,
"Apr 06, 2021",54,52.5,54,52.5,2.82M,
"Apr 05, 2021",52.3,53.5,53.6,52.2,1.78M,
"Apr 01, 2021",53.5,53.8,53.8,53.3,628.22K,
"Mar 31, 2021",54,54.3,54.3,53,559.91K,
"Mar 30, 2021",56.8,57,57,56.4,1.37M,
"Mar 29, 2021",56.7,57,57.5,56.5,1.22M,
"Mar 26, 2021",56.8,55,57,54.2,1.14M,
"Mar 25, 2021",54.7,55,56,54,1.01M,
"Mar 24, 2021",54.9,51.8,54.9,51,1.88M,
"Mar 23, 2021",51.3,54.9,54.9,50,1.24M,
"Mar 17, 2021",51.5,51.58,51.58,51.25,1.77M,
"Mar 16, 2021",51.5,52,52,51.08,938.01K,
"Mar 15, 2021",51.67,51.67,52,51.33,1.79M,
"Mar 12, 2021",51.58,51.67,52.17,51.42,1.56M,
"Mar 10, 2021",51.33,52.33,52.33,50.83,426.72K,
"Mar 09, 2021",51.67,51.33,53,51.33,763.21K,
"Mar 08, 2021",51.17,51.33,51.33,50.33,963.84K,
"Mar 05, 2021",50.33,50.33,50.92,49.75,3.10M,
"Mar 04, 2021",50.33,51.33,51.33,50.08,635.32K,
"Mar 03, 2021",50.92,52.5,52.5,50.08,1.03M,
"Mar 02, 2021",51.67,52,52.33,51.33,2.54M,
"Mar 01, 2021",52.08,53,53,52,697.70K,
"Feb 25, 2021",52,51.33,52.67,51.33,3.69M,
"Feb 24, 2021",51.33,51.67,52,51,769.66K,
"Feb 23, 2021",51.33,53.25,53.25,51.33,1.26M,
"Feb 22, 2021",52.83,53.33,54,52.67,690.33K,
"Feb 19, 2021",53.33,53.33,53.33,52.5,4.04M,
"Feb 18, 2021",53.33,54.33,54.67,52.67,3.16M,
"Feb 17, 2021",53.5,54.92,54.92,51.75,3.64M,
"Feb 16, 2021",54.92,56.58,58.25,54.58,3.71M,
"Feb 15, 2021",56.17,58.67,60,55.58,2.26M,
"Feb 12, 2021",58,55.33,58.33,55.33,3.74M,
"Feb 11, 2021",55.17,55,55.58,48.5,3.80M,
"Feb 10, 2021",54.67,55.83,56.33,54.33,2.51M,
"Feb 09, 2021",55.67,56.67,56.67,53.5,2.41M,
"Feb 08, 2021",56.33,60,60,56.25,5.19M,
"Feb 05, 2021",59.33,61,61,58.42,4.64M,
"Feb 03, 2021",60.17,61,63.33,58.33,5.72M,
"Feb 02, 2021",60.5,65.33,65.67,58.5,7.18M,
"Feb 01, 2021",65,69.67,70,64.42,8.85M,
"Jan 29, 2021",67.67,68.5,83.33,65.92,43.44M,
"Jan 27, 2021",55.67,56.67,56.67,55.08,2.00M,
"Jan 26, 2021",56.67,58.17,58.33,56.33,3.75M,
"Jan 25, 2021",58,55,58,54.75,3.67M,
"Jan 22, 2021",54.67,55.42,55.83,53.92,2.15M,
"Jan 21, 2021",55.33,55.67,56.5,54.08,1.57M,
"Jan 20, 2021",55.17,55,56.67,52.42,4.35M,
"Jan 19, 2021",53,49.33,55.5,49.33,5.17M,
"Jan 18, 2021",49,47.67,50,47.67,3.95M,
"Jan 15, 2021",47.67,46,47.67,46,1.48M,
"Jan 13, 2021",46.25,46.67,46.67,45.83,777.42K,
"Jan 12, 2021",46.67,47,47,46.5,697.04K,
"Jan 11, 2021",47,47.33,47.5,47,875.60K,
"Jan 08, 2021",47.25,47.17,47.5,47,1.11M,
"Jan 07, 2021",47.17,47.17,47.23,46.33,812.95K,
"Jan 06, 2021",47.23,47.5,47.63,45.7,733.14K,
"Jan 05, 2021",47.57,47.03,47.8,47,2.54M,
"Jan 04, 2021",47,46,47.03,45.33,1.29M,
"Dec 31, 2020",46,44.83,46,44.83,686.43K,
"Dec 30, 2020",44.97,44.83,45.17,44.77,321.01K,
"Dec 28, 2020",44.83,44.67,45.17,44.6,325.85K,
"Dec 24, 2020",44.4,44,44.8,43.87,603.97K,
"Dec 23, 2020",43.8,43.37,43.83,43.37,342.36K,
"Dec 22, 2020",43.57,43.87,44,43.33,357.39K,
"Dec 21, 2020",43.97,44.5,44.67,43.93,330.48K,
"Dec 18, 2020",44.5,44.33,44.67,44.17,456.53K,
"Dec 17, 2020",44.5,44.63,44.63,44,955.42K,
"Dec 16, 2020",44.63,44.83,45,44.6,802.46K,
"Dec 15, 2020",44.97,45.63,45.63,44.7,581.16K,
"Dec 14, 2020",45.47,45,45.63,45,538.21K,
"Dec 11, 2020",45.2,45.83,45.83,45,538.35K,
"Dec 10, 2020",45.8,46.63,46.63,45.73,1.12M,
"Dec 09, 2020",46.5,46.6,47.73,45.83,2.21M,
"Dec 08, 2020",46.47,45.33,46.5,45.33,1.92M,
"Dec 07, 2020",45.3,44.2,45.37,44.2,1.20M,
"Dec 04, 2020",43.97,43.33,44.2,43.33,574.52K,
"Dec 03, 2020",43.33,43.63,43.67,43,1.21M,
"Dec 02, 2020",43.47,43.1,43.67,43.1,716.66K,
"Dec 01, 2020",42.97,42.33,43,42.33,706.09K,
"Nov 30, 2020",42.33,41.67,42.33,41.57,543.12K,
"Nov 27, 2020",41.73,41.4,41.77,41.4,457.46K,
"Nov 26, 2020",41.43,41.4,41.67,41.33,705.91K,
"Nov 25, 2020",41.4,41.4,41.6,41.33,420.85K,
"Nov 24, 2020",41.43,41.47,41.63,41.3,224.50K,
"Nov 23, 2020",41.5,41.67,41.67,41.37,170.20K,
"Nov 20, 2020",41.4,41.67,41.67,41.33,139.94K,
"Nov 19, 2020",41.4,41.5,41.67,41.3,179.80K,
"Nov 18, 2020",41.47,41.67,41.7,41.2,330.17K,
"Nov 17, 2020",41.67,41.33,41.73,41.2,364.87K,
"Nov 16, 2020",41.33,42,42.27,41.33,1.46M,
"Nov 13, 2020",41.83,41.33,42.13,41.3,5.18M,
"Nov 12, 2020",41.47,41.67,41.77,41.17,1.76M,
"Nov 11, 2020",42.67,42.67,43.33,42.5,1.43M,
"Nov 10, 2020",42.47,41.7,42.63,41.67,1.34M,
"Nov 09, 2020",41.5,41.67,41.9,41.3,1.02M,
"Nov 06, 2020",41.5,41,41.67,40.83,721.35K,
"Nov 05, 2020",40.9,40.87,41.03,40.6,1.13M,
"Nov 04, 2020",40.67,40.43,40.83,40.43,691.71K,
"Nov 03, 2020",40.33,40.63,40.63,40,249.02K,
"Nov 02, 2020",40.07,40,40.63,39.67,584.41K,
"Oct 29, 2020",40.63,40.07,40.67,40,109.40K,
"Oct 28, 2020",40.3,40.5,40.8,39.67,495.93K,
"Oct 27, 2020",40.3,40.8,40.8,40.2,368.60K,
"Oct 26, 2020",40.33,40.37,40.67,40,478.69K,
"Oct 23, 2020",41,41,41.67,40.87,363.80K,
"Oct 22, 2020",40.5,40,41.33,39.63,1.95M,
"Oct 21, 2020",41.03,41.67,41.83,40.53,1.58M,
"Oct 20, 2020",41.8,41.5,42,41.33,1.86M,
"Oct 19, 2020",41.53,41.5,41.83,41.33,1.08M,
"Oct 16, 2020",41.3,41.5,41.67,41.23,1.09M,
"Oct 15, 2020",41.5,41.57,42.17,41.2,1.09M,
"Oct 14, 2020",41.5,40.73,42.17,40.33,1.09M,
"Oct 13, 2020",40.67,41.33,41.67,40.6,1.84M,
"Oct 12, 2020",41.33,41.67,42.3,41.2,479.33K,
"Oct 09, 2020",41.6,41,42.33,41,782.95K,
"Oct 08, 2020",40.73,40,40.9,40,1.87M,
"Oct 07, 2020",39.67,40.2,40.87,39.63,2.17M,
"Oct 06, 2020",40.47,40.33,41.63,39.3,2.11M,
"Oct 05, 2020",40.93,42.3,42.3,39,3.09M,
"Oct 02, 2020",43.67,44,44.33,43,1.40M,
"Sep 30, 2020",44,44.33,44.33,43.1,2.60M,
"Sep 29, 2020",44.83,45.2,45.2,44.63,2.69M,
"Sep 28, 2020",45.03,45,45.17,44.7,937.69K,
"Sep 25, 2020",44.93,44.73,45,44.7,992.99K,
"Sep 24, 2020",44.97,45,45.27,44.77,1.13M,
"Sep 23, 2020",45,45.17,45.33,44.5,1.98M,
"Sep 22, 2020",45,45.97,46,44.93,1.65M,
"Sep 21, 2020",45.63,46.3,46.37,44.67,4.53M,
"Sep 18, 2020",45.67,45,46.93,45,4.59M,
"Sep 17, 2020",44.17,42.33,44.67,42.33,2.76M,
"Sep 16, 2020",42.57,42,42.63,41.93,797.19K,
"Sep 15, 2020",42.17,42.33,42.63,41.83,1.46M,
"Sep 14, 2020",42.33,41.53,42.33,41.53,5.55M,
"Sep 11, 2020",41.3,40.97,41.37,40.9,1.41M,
"Sep 10, 2020",41,41.43,41.43,40.67,1.39M,
"Sep 09, 2020",41.33,41,41.57,40.87,1.55M,
"Sep 08, 2020",40.73,40.93,41.17,40.67,1.18M,
